SEGMENT_NAME,Count,% of Total,Avg Balance,Avg Purchases,Avg Credit Limit,Avg Utilization,Avg Pmt/Bal,Avg CA Ratio
Cash Advance Users,871,9.7,5875.947866393801,951.4812169919633,9785.30946665327,0.6188830666871917,9.178240235424296,0.8211039265856835
Dormant/Low Engagement,3509,39.2,404.9866728116273,700.4657024793388,4568.382327118267,0.09551410433373697,29.645054840674966,0.02925641669637888
Revolvers,3203,35.8,1661.387187926319,200.89063378083046,2967.160994900718,0.6271304330232228,7.039434295354949,0.7730922168550367
Transactors,1366,15.3,1567.7593834509516,3695.868426061493,4512.118106393118,0.41244629080751016,7.112666266041337,0.06977348122402223
